V.N,Verbs,,1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82
,abolir,,,,,,abonder,"cercler, T.","boulanger, I,T","grener, I,T","rétrocéder, T.","canneler,",,"procréer, T....... 13",,,"charroyer,T",,,"désépaissir, T..... 19",,,circonvenir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,suspendre,,,retransmettre,geindre,,,,,,,,,,,,,,,,,,,,,,,,,reproduire
,abominer,,,,,,abonner,"cerner, T","bridger, I..","malmener,T","succéder,","capeler,",,"ragréer, T",,,"chatoyer, I",,,"dését?blir, T...... 19",,,contrevenir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tendre,,,soumettre,teindre,,,,,,,,,,,,,,,,,,,,,,,,,retraduire
,abonder,,,,,,aborder,"certifier, T.",calorifuger. T,"mener,","blasphémer, I,T","carreler, T",,"regréer, T........ 13",,,"choyer, T..",,,"désinvestir, T..... 19",,,convenir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,attendre,,,transmettre,déteindre,,,,,,,,,,,,,,,,,,,,,,,,,séduire
,abonner,,,,,,aboucher,"coincer, T, P","calorifuger, T","promener, T,P... 9","crémer,I","celer, T",,"suppléer,",,,"convoyer, T",,,"embellir, L, O,TP . 19",,,devenir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,détendre,,,,éteindre,,,,,,,,,,,,,,,,,,,,,,,,,traduire
,abonnir,,,,,,abraser,"commencer, l,T,P 7","centrifuger, T","ramener, T, P","écrémer, T.","chanceler,",,"toréer,|.",,,"corroyer, T....... 17",,,"enlaidir, I,O.T.P... 19",,,disconvenir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,distendre,,,,reteindre,,,,,,,,,,,,,,,,,,,,,,,,,construire
,aborder,,,,,,abreuver,"commercer, I","challenger, T","rengrener,T","caréner,","chapeler, T",,,,,"côtoyer, T.",,,"ennoblir, T....... 19",,,intervenir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,entendre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,détruire
,aboucher,,,,,,abricoter,"concerner, T......  ","changer, I,0.T,P.8","remmener, T..","créner, T","ciseler, T",,,,,"coudoyer, 1",,,"enorgueillir, T, p... 19",,,obvenir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,étendre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instruire
,abouler,,,,,,abriter,"concerter, I, T, P...  ","colliger, T","surmener, T, P...","désaliéner, T...... 10","congeler, T, P.",,,,,"déblayer, T",,,"époutir, T........ 19",,,parvenir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prétendre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reconstruire
,abouter,,,,,,absenter,"concurrencer, T",converger I,"repercer, T","désénerver, T","cordeler, T....... 11",,,,,"débrayer, T..",,,"équarrir, T........ 19",,,prévenir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"retendre,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,luire
,aboutir,,,,,,absorber,"contrebalancer, T... 7","corriger, T, P.... 8","reperdre,","déshydrogéner, T.. 10","craqueler, T, P.",,,,,"défrayer, T....... 1 ",,,"esbaudir, P....... 19",,,provenir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sous-entendre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reluire
,aboyer,,,,,,abuser,"courroucer, T, P","décharger,I,T,P. 8",reperdre,désoxygéner. T,"créneler, T.",,,,,"dégravoyer, T.",,,"étourdir, T, P...... 19",,,redevenir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sous-tendre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nuire
,abraser,,,,,,acangander,"décercler,T.","dócourager,T,P. 8",désalterer.,"morigéner, T..","cuveler,",,,,,"dérayer, I,T.",,," évaporer 1, P.... 19",,,ressouveni ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vendre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,entre-nuire
,abréger,,,,,,accabler,"décerner,T","dédommager, T, P","liserer,","oxygéner, T, P..... 10","débosseler, T..... 11",,,,,"déployer, T, P",,,"grandir. I, O,T, P.. 19",,,revenir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mévendre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,abreuver,,,,,,accaparer,"décoincer, T","défiger, T",peser,"rasséréner, T, P.... 10","décapeler, T",,,,,"désembrayer, T.... 1 ",,,"grossir, I,O, T.... 19",,,souvenir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,revendre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,abricoter,,,,,,jouer,"déconcerter, T","dégager, T,P .","désempeser, T","refréner, T.","décarreler, T, P",,,,,"désennuyer,",,,"guérir, I, T, P..... 19",,,subvenir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,épandre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,abriter,,,,,,,"décontenancer,T,P","dégermer, 1..","empeser, T","réfréner, T.","déficeler, T....... 11",,,,,"désenrayer,",,,"*hourdir, T....... 19",,,survenir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,répandre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,abroger,,,,,,,"dédicacer,","dégorger, I,T..","peser, I,T","rengréner, T...... 10","dégeler,I, O,T.",,,,,"dévoyer, T, P.",,,"infléchir, T, P.,.,, 19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fondre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,abrutir,,,,,,,"défoncer, T, P..... 7","départager, T","soupeser,","réverbérer, T, P..","dépuceler, T",,,,,"drayer, T.",,,"intervertir, T...... 19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,confondre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
